part_name,view,instance,polygon_id,image_width,image_height,x_min,y_min,x_max,y_max,points_px,holes_px,points_normalized,source
Back-bumper,rear,rear,1,1536,1024,1050,907,1399,973,1050:907;1055:950;1063:968;1071:973;1122:969;1143:954;1297:953;1312:956;1327:969;1378:973;1390:962;1399:921;1399:907;1335:912;1112:912,1119:968;1119:967;1120:966;1123:966;1124:967;1122:969;1120:969|1091:961;1092:960;1098:960;1099:961;1098:962;1092:962|1070:951;1076:945;1373:945;1380:950;1370:960;1351:961;1333:960;1319:950;1131:950;1119:959;1111:961;1081:960|1358:917;1360:917;1363:920;1363:921;1364:922;1364:923;1363:924;1363:925;1362:926;1361:926;1360:927;1357:927;1355:925;1355:924;1354:923;1354:921|1295:917;1296:918;1298:918;1299:919;1299:920;1300:921;1300:924;1297:927;1293:927;1291:925;1291:924;1290:923;1290:921;1293:918;1294:918|1157:917;1158:918;1159:918;1162:921;1162:924;1159:927;1155:927;1153:925;1153:924;1152:923;1152:921;1155:918;1156:918|1090:917;1091:917;1092:918;1093:918;1095:920;1095:924;1092:927;1089:927;1086:924;1086:920;1088:918;1089:918|1394:909;1395:908;1398:908;1399:909;1399:910;1398:911;1397:911;1396:910;1395:910|1050:909;1051:908;1054:908;1055:909;1055:910;1054:911;1051:911;1050:910,0.683594:0.885742;0.686849:0.927734;0.692057:0.945312;0.697266:0.950195;0.730469:0.946289;0.744141:0.931641;0.844401:0.930664;0.854167:0.933594;0.863932:0.946289;0.897135:0.950195;0.904948:0.939453;0.910807:0.899414;0.910807:0.885742;0.869141:0.890625;0.723958:0.890625,connected_component_696
Back-door,left_side,left,1,1536,1024,301,421,402,577,402:423;337:421;306:427;301:577;347:560;398:533;397:514,324:517;328:517;330:519;330:520;331:521;331:526;332:527;332:528;334:530;334:532;335:533;335:541;334:542;334:545;330:551;330:555;326:559;322:559;320:557;320:556;319:555;319:548;317:546;317:545;316:544;316:532;317:531;317:530;320:527;320:522;321:521;321:520|307:440;308:441;308:443;307:444;306:443;306:441,0.261719:0.413086;0.219401:0.411133;0.199219:0.416992;0.195964:0.563477;0.225911:0.546875;0.259115:0.520508;0.258464:0.501953,connected_component_275
Back-door,right_side,right,1,1536,1024,1133,421,1234,577,1133:423;1138:533;1155:546;1180:558;1234:577;1229:427;1198:421,1207:517;1211:517;1215:521;1215:526;1218:529;1218:531;1219:532;1219:536;1220:537;1220:540;1219:541;1219:544;1218:545;1218:547;1216:549;1216:555;1215:556;1215:557;1212:559;1209:559;1206:557;1206:556;1205:555;1205:549;1204:549;1203:548;1203:547;1201:544;1201:542;1200:541;1200:535;1201:534;1201:531;1202:530;1202:529;1204:526;1204:521;1205:520;1205:519|1224:427;1225:426;1227:426;1228:427;1228:428;1227:429;1226:429,0.737630:0.413086;0.740885:0.520508;0.751953:0.533203;0.768229:0.544922;0.803385:0.563477;0.800130:0.416992;0.779948:0.411133,connected_component_276
Back-door,top,left,1,1536,1024,602,542,638,676,602:542;605:673;606:675;635:676;638:632;637:554,609:671;610:672;610:673;608:675;606:673;608:671|633:554;634:553;635:553;637:555;635:557;633:555|604:544;605:543;606:544;607:544;608:545;607:546;605:546;604:545,0.391927:0.529297;0.393880:0.657227;0.394531:0.659180;0.413411:0.660156;0.415365:0.617188;0.414714:0.541016,connected_component_318
Back-door,top,right,1,1536,1024,897,542,933,676,933:542;898:554;897:626;900:676;927:675;930:672;932:628,924:673;925:672;927:672;928:673;927:674;925:674,0.607422:0.529297;0.584635:0.541016;0.583984:0.611328;0.585938:0.660156;0.603516:0.659180;0.605469:0.656250;0.606771:0.613281,connected_component_319
Fender,top,left,1,1536,1024,579,354,596,512,596:354;593:357;582:361;580:462;582:452;586:449;590:454;593:476;590:483;589:492;586:495;582:492;580:483;579:499;592:512;593:422,588:508;589:507;590:507;592:509;591:510;589:510;588:509|588:493;589:492;590:492;591:493;591:494;590:495,0.388021:0.345703;0.386068:0.348633;0.378906:0.352539;0.377604:0.451172;0.378906:0.441406;0.381510:0.438477;0.384115:0.443359;0.386068:0.464844;0.384115:0.471680;0.383464:0.480469;0.381510:0.483398;0.378906:0.480469;0.377604:0.471680;0.376953:0.487305;0.385417:0.500000;0.386068:0.412109,connected_component_259
Fender,top,right,1,1536,1024,939,354,956,513,939:354;942:419;942:513;956:500;955:482;953:492;950:495;946:492;943:480;945:454;942:453;944:449;946:452;949:449;951:450;955:461;953:361;943:357;943:359;940:359,943:508;944:507;945:507;946:508;946:509;945:510;944:510;943:509|944:488;946:490;946:493;944:495;943:494;943:493;942:492;942:491;943:490;943:489|948:361;949:360;951:360;952:361;950:363,0.611328:0.345703;0.613281:0.409180;0.613281:0.500977;0.622396:0.488281;0.621745:0.470703;0.620443:0.480469;0.618490:0.483398;0.615885:0.480469;0.613932:0.468750;0.615234:0.443359;0.613281:0.442383;0.614583:0.438477;0.615885:0.441406;0.617839:0.438477;0.619141:0.439453;0.621745:0.450195;0.620443:0.352539;0.613932:0.348633;0.613932:0.350586;0.611979:0.350586,connected_component_260
Front-bumper,front,front,1,1536,1024,140,885,480,968,140:888;141:954;150:965;180:964;149:959;159:931;223:936;191:963;169:967;199:968;226:938;257:936;257:918;150:908;147:950;147:904;277:915;398:914;472:904;474:950;469:908;362:918;363:936;394:938;420:968;471:965;478:958;480:888;471:885;462:896;361:911;243:910,467:963;467:964;466:965;461:965;460:964;461:963;464:963;465:962;466:962|153:963;154:962;157:962;158:963;158:964;157:965;155:965|151:934;152:934;153:935;153:938;152:939;151:939;149:937;149:936|471:958;467:962;464:963;438:964;454:964;455:965;452:967;444:967;443:966;435:967;434:966;436:965;431:966;430:965;432:964;429:963;409:939;396:939;395:937;400:935;412:935;413:934;433:933;434:932;446:932;447:931;461:931;466:936;469:943|363:920;363:919;364:918;367:918;368:919;366:921;364:921|251:919;252:918;254:918;255:919;254:920;252:920|431:915;432:914;434:914;435:915;434:916;432:916|294:912;295:911;370:911;371:912;370:913;295:913|269:912;270:911;286:911;287:912;286:913;270:913|248:912;249:911;268:911;269:912;268:913;249:913|477:889;478:888;479:888;480:889;480:891;479:892;477:890|140:889;141:888;142:888;143:889;143:890;142:891;141:891;140:890|470:887;471:886;474:886;475:887;473:889;472:889|146:887;147:886;148:886;149:887;149:888;148:889;147:889;146:888,0.091146:0.867188;0.091797:0.931641;0.097656:0.942383;0.117188:0.941406;0.097005:0.936523;0.103516:0.909180;0.145182:0.914062;0.124349:0.940430;0.110026:0.944336;0.129557:0.945312;0.147135:0.916016;0.167318:0.914062;0.167318:0.896484;0.097656:0.886719;0.095703:0.927734;0.095703:0.882812;0.180339:0.893555;0.259115:0.892578;0.307292:0.882812;0.308594:0.927734;0.305339:0.886719;0.235677:0.896484;0.236328:0.914062;0.256510:0.916016;0.273438:0.945312;0.306641:0.942383;0.311198:0.935547;0.312500:0.867188;0.306641:0.864258;0.300781:0.875000;0.235026:0.889648;0.158203:0.888672,connected_component_639
Front-door,left_side,left,1,1536,1024,306,258,432,424,321:261;306:423;335:417;382:417;432:424;432:264;369:258,328:371;332:371;334:373;334:374;335:375;335:381;336:382;336:383;337:384;337:386;338:387;338:396;337:397;337:399;336:400;336:401;334:403;334:406;333:407;333:410;330:413;326:413;323:410;323:409;322:408;322:401;320:399;320:397;319:396;319:389;320:388;320:385;321:384;321:383;324:380;324:376;325:375;325:374|415:262;416:276;409:370;407:418;404:419;403:405;412:266;413:263,0.208984:0.254883;0.199219:0.413086;0.218099:0.407227;0.248698:0.407227;0.281250:0.414062;0.281250:0.257812;0.240234:0.251953,connected_component_182
Front-door,right_side,right,1,1536,1024,1103,258,1229,424,1215:261;1167:258;1122:262;1131:419;1120:262;1103:264;1104:424;1153:417;1199:417;1229:423,1225:420;1226:419;1227:419;1229:421;1228:422;1226:422;1225:421|1203:371;1207:371;1210:374;1210:375;1211:376;1211:380;1214:383;1214:384;1215:385;1215:387;1216:388;1216:396;1215:397;1215:399;1213:402;1213:409;1212:410;1212:411;1210:413;1205:413;1203:411;1203:410;1202:409;1202:403;1201:403;1200:402;1200:401;1198:399;1198:396;1197:395;1197:386;1198:385;1198:383;1200:381;1200:375;1201:374;1201:373,0.791016:0.254883;0.759766:0.251953;0.730469:0.255859;0.736328:0.409180;0.729167:0.255859;0.718099:0.257812;0.718750:0.414062;0.750651:0.407227;0.780599:0.407227;0.800130:0.413086,connected_component_186
