part_name,view,polygon_id,image_width,image_height,x_min,y_min,x_max,y_max,points_px,holes_px,points_normalized,source
Hood,top,1,1536,1024,632,57,903,258,680:70;632:258;634:253;678:240;742:232;843:237;903:258;854:69;814:59;744:57,896:253;897:252;898:252;899:251;900:252;900:253;899:254;897:254|637:242;638:243;638:245;637:246;636:245;636:243,0.442708:0.068359;0.411458:0.251953;0.412760:0.247070;0.441406:0.234375;0.483073:0.226562;0.548828:0.231445;0.587891:0.251953;0.555990:0.067383;0.529948:0.057617;0.484375:0.055664,connected_component_39
Roof,top,1,1536,1024,648,385,887,758,648:402;660:552;655:741;749:758;812:756;879:741;875:551;887:402;795:385;716:387,658:726;659:727;659:730;658:731;657:730;657:727|765:715;770:715;771:716;772:716;776:721;776:722;777:723;777:725;778:726;778:737;777:738;777:740;776:741;776:742;768:750;767:749;766:749;760:743;760:742;757:737;757:726;758:725;758:723;759:722;759:721|661:667;662:668;662:672;661:673;660:672;660:668|658:472;659:473;659:476;658:477;657:476;657:473|648:403;649:402;650:402;651:403;651:404;650:405;649:405;648:404,0.421875:0.392578;0.429688:0.539062;0.426432:0.723633;0.487630:0.740234;0.528646:0.738281;0.572266:0.723633;0.569661:0.538086;0.577474:0.392578;0.517578:0.375977;0.466146:0.377930,connected_component_267
Trunk,top,1,1536,1024,629,832,906,938,629:832;637:917;652:926;722:937;797:938;861:931;897:921;906:865;906:832;898:846;874:859;782:871;718:869;661:859;642:850,630:842;632:840;634:842;633:843;631:843,0.409505:0.812500;0.414714:0.895508;0.424479:0.904297;0.470052:0.915039;0.518880:0.916016;0.560547:0.909180;0.583984:0.899414;0.589844:0.844727;0.589844:0.812500;0.584635:0.826172;0.569010:0.838867;0.509115:0.850586;0.467448:0.848633;0.430339:0.838867;0.417969:0.830078,connected_component_539
Trunk,rear,1,1536,1024,1101,829,1349,857,1101:833;1103:841;1134:844;1151:857;1300:857;1317:844;1349:839;1349:833;1346:835;1344:832;1271:829;1176:829;1104:832;1105:835,1224:855;1225:854;1227:854;1228:855;1227:856;1225:856|1347:837;1349:839;1347:841;1345:839|1224:833;1228:833;1229:834;1231:834;1235:838;1235:839;1236:840;1236:847;1234:849;1234:850;1231:853;1230:853;1229:854;1223:854;1222:853;1221:853;1216:848;1216:846;1215:845;1215:842;1216:841;1216:839;1221:834;1223:834|1302:831;1303:830;1305:830;1306:831;1305:832;1303:832,0.716797:0.813477;0.718099:0.821289;0.738281:0.824219;0.749349:0.836914;0.846354:0.836914;0.857422:0.824219;0.878255:0.819336;0.878255:0.813477;0.876302:0.815430;0.875000:0.812500;0.827474:0.809570;0.765625:0.809570;0.718750:0.812500;0.719401:0.815430,connected_component_537_upper
Trunk,rear,1,1536,1024,1112,862,1339,900,1112:877;1118:891;1125:897;1135:900;1317:900;1329:895;1339:878;1311:877;1303:871;1298:862;1154:862;1157:863;1153:864;1144:876,1262:893;1263:892;1270:892;1271:893;1270:894;1263:894|1175:866;1275:865;1277:867;1277:891;1274:893;1176:892|1294:863;1295:862;1297:862;1298:863;1297:864;1295:864|1176:863;1177:862;1273:862;1276:864;1275:865;1178:865,0.723958:0.856445;0.727865:0.870117;0.732422:0.875977;0.738932:0.878906;0.857422:0.878906;0.865234:0.874023;0.871745:0.857422;0.853516:0.856445;0.848307:0.850586;0.845052:0.841797;0.751302:0.841797;0.753255:0.842773;0.750651:0.843750;0.744792:0.855469,connected_component_570_lower
Front-bumper,front,1,1536,1024,140,885,480,968,140:888;150:965;180:964;149:959;159:931;223:936;169:967;199:968;226:938;257:936;257:918;150:908;147:950;147:904;277:915;472:904;474:950;469:908;362:918;363:936;394:938;420:968;478:958;480:888;471:885;462:896;361:911;243:910,467:963;467:964;466:965;461:965;460:964;461:963;464:963;465:962;466:962|153:963;154:962;157:962;158:963;158:964;157:965;155:965|151:934;152:934;153:935;153:938;152:939;151:939;149:937;149:936|471:958;464:963;438:964;454:964;455:965;452:967;443:966;435:967;434:966;436:965;431:966;430:965;432:964;429:963;409:939;396:939;395:937;400:935;461:931;466:936;469:943|363:920;363:919;364:918;367:918;368:919;366:921;364:921|251:919;252:918;254:918;255:919;254:920;252:920|431:915;432:914;434:914;435:915;434:916;432:916|294:912;295:911;370:911;371:912;370:913;295:913|269:912;270:911;286:911;287:912;286:913;270:913|248:912;249:911;268:911;269:912;268:913;249:913|477:889;478:888;479:888;480:889;480:891;479:892;477:890|140:889;141:888;142:888;143:889;143:890;142:891;141:891;140:890|470:887;471:886;474:886;475:887;473:889;472:889|146:887;147:886;148:886;149:887;149:888;148:889;147:889;146:888,0.091146:0.867188;0.097656:0.942383;0.117188:0.941406;0.097005:0.936523;0.103516:0.909180;0.145182:0.914062;0.110026:0.944336;0.129557:0.945312;0.147135:0.916016;0.167318:0.914062;0.167318:0.896484;0.097656:0.886719;0.095703:0.927734;0.095703:0.882812;0.180339:0.893555;0.307292:0.882812;0.308594:0.927734;0.305339:0.886719;0.235677:0.896484;0.236328:0.914062;0.256510:0.916016;0.273438:0.945312;0.311198:0.935547;0.312500:0.867188;0.306641:0.864258;0.300781:0.875000;0.235026:0.889648;0.158203:0.888672,connected_component_639
Back-bumper,rear,1,1536,1024,1050,907,1399,973,1050:907;1055:950;1063:968;1071:973;1122:969;1143:954;1297:953;1312:956;1327:969;1378:973;1390:962;1399:907;1335:912;1112:912,1119:968;1119:967;1120:966;1123:966;1124:967;1122:969;1120:969|1091:961;1092:960;1098:960;1099:961;1098:962;1092:962|1070:951;1076:945;1373:945;1380:950;1370:960;1351:961;1333:960;1319:950;1131:950;1111:961;1081:960|1358:917;1360:917;1363:920;1363:921;1364:922;1364:923;1363:924;1363:925;1362:926;1361:926;1360:927;1357:927;1355:925;1355:924;1354:923;1354:921|1295:917;1296:918;1298:918;1299:919;1299:920;1300:921;1300:924;1297:927;1293:927;1291:925;1291:924;1290:923;1290:921;1293:918;1294:918|1157:917;1158:918;1159:918;1162:921;1162:924;1159:927;1155:927;1153:925;1153:924;1152:923;1152:921;1155:918;1156:918|1090:917;1091:917;1092:918;1093:918;1095:920;1095:924;1092:927;1089:927;1086:924;1086:920;1088:918;1089:918|1394:909;1395:908;1398:908;1399:909;1399:910;1398:911;1397:911;1396:910;1395:910|1050:909;1051:908;1054:908;1055:909;1055:910;1054:911;1051:911;1050:910,0.683594:0.885742;0.686849:0.927734;0.692057:0.945312;0.697266:0.950195;0.730469:0.946289;0.744141:0.931641;0.844401:0.930664;0.854167:0.933594;0.863932:0.946289;0.897135:0.950195;0.904948:0.939453;0.910807:0.885742;0.869141:0.890625;0.723958:0.890625,connected_component_696
Front-door,left_side,1,1536,1024,306,258,432,424,321:261;306:423;335:417;382:417;432:424;432:264;369:258,328:371;332:371;334:373;334:374;335:375;335:381;336:382;336:383;337:384;337:386;338:387;338:396;337:397;337:399;336:400;336:401;334:403;334:406;333:407;333:410;330:413;326:413;323:410;323:409;322:408;322:401;320:399;320:397;319:396;319:389;320:388;320:385;321:384;321:383;324:380;324:376;325:375;325:374|415:262;416:276;407:418;404:419;403:405;412:266,0.208984:0.254883;0.199219:0.413086;0.218099:0.407227;0.248698:0.407227;0.281250:0.414062;0.281250:0.257812;0.240234:0.251953,connected_component_182
Front-door,top,1,1536,1024,602,345,636,517,606:345;602:501;636:517;635:474;628:416;609:345,605:499;606:500;606:501;605:502;604:502;603:501|604:431;605:432;605:436;604:437;603:436;603:432|607:345;608:345;610:347;610:348;609:349;609:355;608:356;606:354;606:346,0.394531:0.336914;0.391927:0.489258;0.414062:0.504883;0.413411:0.462891;0.408854:0.406250;0.396484:0.336914,connected_component_254
Front-door,right_side,1,1536,1024,1103,261,1229,424,1215:261;1122:262;1131:419;1120:262;1103:264;1104:424;1153:417;1199:417;1229:423,1225:420;1226:419;1227:419;1229:421;1228:422;1226:422;1225:421|1203:371;1207:371;1210:374;1210:375;1211:376;1211:380;1214:383;1214:384;1215:385;1215:387;1216:388;1216:396;1215:397;1215:399;1213:402;1213:409;1210:413;1205:413;1203:411;1203:410;1202:409;1202:403;1201:403;1198:399;1198:396;1197:395;1197:386;1198:385;1198:383;1200:381;1200:375,0.791016:0.254883;0.730469:0.255859;0.736328:0.409180;0.729167:0.255859;0.718099:0.257812;0.718750:0.414062;0.750651:0.407227;0.780599:0.407227;0.800130:0.413086,connected_component_186
